name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,draft_Team,draft_College
Craig Erickson,TAM,1993,24,74,209,66.4,233,13.1,236,21,5.73,16,67,4.54,3.9,51,15,4.6,5.4,8,NA,NA,35,5,18,6.7,3054,NA,190.9,457,7.1,394,131.33,8.1,7.9,136.7,56,234.33,703,3,40,13.33,21,7,5677,1892.33,1991,8,5,20,131,Eagles,Miami (FL)
Craig Erickson,TAM,1993,24,74,209,66.4,233,13.1,236,21,5.73,16,67,4.54,3.9,51,15,4.6,5.4,8,NA,NA,35,5,18,6.7,3054,NA,190.9,457,7.1,394,131.33,8.1,7.9,136.7,56,234.33,703,3,40,13.33,21,7,5677,1892.33,1992,5,4,2,86,Buccaneers,Miami (FL)
Craig Morton,DAL,1969,26,76,214,85.4,162,NA,246,15,NA,13,67,NA,7,53.6,13,5,NA,12,2,2,30,10,21,NA,2619,NA,201.5,302,9,355,118.33,7,6,123.2,55.4,213.67,641,3,36,12,31,10.33,4501,1500.33,1965,2,1,5,5,Cowboys,California
Craig Whelihan,SDG,1997,26,77,220,58.3,118,11.5,168,10,4.61,9,61,3.33,2.5,49.8,7,4.2,4.3,1,NA,NA,21,0,6,5.7,1357,NA,150.8,237,8.1,300,100,6.4,5.8,113,50.8,197,591,3,27,9,20,6.67,3797,1265.67,1995,13,6,26,197,Chargers,Pacific
Curtis Painter,IND,2011,26,76,230,66.6,132,11.7,104,9,5.55,9,87,4.45,2.5,54.3,8,3.7,5.2,2,NA,NA,16,0,6,6.3,1541,NA,171.2,243,6.2,987,246.75,6.8,6.3,124.6,59.9,412,1648,4,67,16.75,46,11.5,11163,2790.75,2009,11,6,28,201,Colts,Purdue
Dan Fouts,SDG,1974,23,75,204,61.4,115,NA,99,13,6.56,11,75,4.85,3.4,48.5,11,5.5,5.5,7,2,2,12,3,8,7.3,1732,NA,157.5,237,4.8,482,160.67,6.3,4.5,104.6,50.4,318.67,956,3,37,12.33,54,18,5995,1998.33,1973,6,3,12,64,Chargers,Oregon
Dan Marino,MIA,1983,22,76,224,96,173,12.8,80,6,6.96,11,85,NA,6.8,58.4,9,2,7.9,10,1,2,10,7,20,7.5,2210,NA,200.9,296,NA,693,173.25,7.1,5.9,127.7,57.6,301,1204,4,79,19.75,69,17.25,8597,2149.25,1983,6,1,27,27,Dolphins,Pittsburgh
Dan Orlovsky,DET,2008,25,77,230,72.6,143,11.3,95,8,5.65,10,96,4.91,3.1,56.1,7,3.1,5.6,4,NA,NA,14,0,8,6.3,1616,47.98,161.6,255,5.2,788,262.67,7.2,7,134,60.7,432.67,1298,3,75,25,40,13.33,9327,3109,2005,9,5,9,145,Lions,Connecticut
Danny Kanell,NYG,1997,24,75,218,70.7,156,11.2,171,9,5.01,16,68,4.42,3.7,53.1,10,3.1,5.3,5,1,3,19,7,11,5.9,1740,NA,108.8,294,6.1,529,132.25,7.5,7.5,141.1,62.2,212.75,851,4,57,14.25,26,6.5,6372,1593,1996,4,4,35,130,Giants,Florida State
Danny White,DAL,1980,28,74,193,80.7,260,12.6,252,25,6.51,16,58,5.3,6.4,59.6,16,5.7,6.2,14,2,2,30,12,28,7.5,3287,NA,205.4,436,6.4,345,115,9.1,8.5,148.8,53.2,216.33,649,3,59,19.67,36,12,5932,1977.33,1974,1,3,1,53,Cowboys,Arizona State
Daryle Lamonica,OAK,1967,26,75,215,80.8,220,14.7,NA,20,NA,14,72,NA,NA,51.8,14,NA,6.9,16,1,1,NA,13,NA,7.6,3228,NA,230.6,425,NA,99,33,6.5,3.8,98.5,46.9,70.33,211,3,8,2.67,16,5.33,1363,454.33,1963,7,12,14,168,Packers,Notre Dame
Daunte Culpepper,MIN,2000,23,76,264,98,297,13.3,181,16,7.39,16,78,7.28,NA,62.7,16,3.4,8.2,21,3,4,34,11,NA,8.3,3937,NA,246.1,474,6.7,721,240.33,8.5,8.5,153.1,65.7,365.67,1097,3,72,24,32,10.67,9341,3113.67,1999,4,1,11,11,Vikings,Central Florida
